board_role,module_id,lane,position,logical_signal,fpga_direction,rtl_port,connector,connector_pin,connector_net,fpga_package_pin,fpga_pin_name,io_bank,vcco_volts,iostandard,tfdu_header_pin,tfdu_device_pin,reset_default,pull,source_document,source_page_table,notes
fixed,F0,0,J10-A,Mode,output_to_tfdu,tfdu_mode_o[0],J10,30,IO1_14P,T12,IO_L2P_T0_34,34,3.3,LVCMOS33,8,7,HIGH; static MIR/FIR mode,No discrete board pull shown; 33-ohm connector series resistor; configuration pull-up is power-sequence dependent,AX7020 schematic V2.0 + AX7020 manual V2.2 + AX7020 pin workbook + Vivado 2023.1 device DB + TFDU sources,schematic sheets 5/15/16; manual section 7.4; workbook Sheet1; TFDU datasheet pages 4/8/10; TFDU small-board schematic,No selected-net onboard peripheral conflict shown
fixed,F0,0,J10-A,SD,output_to_tfdu,tfdu_sd_o[0],J10,32,IO1_15P,T11,IO_L1P_T0_34,34,3.3,LVCMOS33,7,5,HIGH; active-high full shutdown,No discrete board pull shown; 33-ohm connector series resistor; configuration pull-up is power-sequence dependent,AX7020 schematic V2.0 + AX7020 manual V2.2 + AX7020 pin workbook + Vivado 2023.1 device DB + TFDU sources,schematic sheets 5/15/16; manual section 7.4; workbook Sheet1; TFDU datasheet pages 4/8/10; TFDU small-board schematic,No selected-net onboard peripheral conflict shown
fixed,F0,0,J10-A,Rxd,input_from_tfdu,tfdu_rxd_i[0],J10,34,IO1_16P,B19,IO_L2P_T0_AD8P_35,35,3.3,LVCMOS33,5,4,Input; active-low; TFDU has approximately 500-kohm weak pull-up only in shutdown,No selected-net discrete pull except J10-26/U13 R29=1 kohm to GND; 33-ohm connector series resistor,AX7020 schematic V2.0 + AX7020 manual V2.2 + AX7020 pin workbook + Vivado 2023.1 device DB + TFDU sources,schematic sheets 5/15/16; manual section 7.4; workbook Sheet1; TFDU datasheet pages 4/8/10; TFDU small-board schematic,XADC auxiliary-capable pin used as ordinary digital I/O; XADC auxiliary channel is not enabled
fixed,F0,0,J10-A,Txd,output_to_tfdu,tfdu_txd_o[0],J10,36,IO1_17P,C20,IO_L1P_T0_AD0P_35,35,3.3,LVCMOS33,3,3,LOW in configured reset/fault/shutdown; active-high pulse; continuous HIGH <=1 us,No discrete board pull shown; 33-ohm connector series resistor; configuration pull-up is power-sequence dependent,AX7020 schematic V2.0 + AX7020 manual V2.2 + AX7020 pin workbook + Vivado 2023.1 device DB + TFDU sources,schematic sheets 5/15/16; manual section 7.4; workbook Sheet1; TFDU datasheet pages 4/8/10; TFDU small-board schematic,XADC auxiliary-capable pin used as ordinary digital I/O; XADC auxiliary channel is not enabled
fixed,F1,1,J10-B,Mode,output_to_tfdu,tfdu_mode_o[1],J10,22,IO1_10P,V17,IO_L21P_T3_DQS_34,34,3.3,LVCMOS33,8,7,HIGH; static MIR/FIR mode,No discrete board pull shown; 33-ohm connector series resistor; configuration pull-up is power-sequence dependent,AX7020 schematic V2.0 + AX7020 manual V2.2 + AX7020 pin workbook + Vivado 2023.1 device DB + TFDU sources,schematic sheets 5/15/16; manual section 7.4; workbook Sheet1; TFDU datasheet pages 4/8/10; TFDU small-board schematic,No selected-net onboard peripheral conflict shown
fixed,F1,1,J10-B,SD,output_to_tfdu,tfdu_sd_o[1],J10,24,IO1_11P,T14,IO_L5P_T0_34,34,3.3,LVCMOS33,7,5,HIGH; active-high full shutdown,No discrete board pull shown; 33-ohm connector series resistor; configuration pull-up is power-sequence dependent,AX7020 schematic V2.0 + AX7020 manual V2.2 + AX7020 pin workbook + Vivado 2023.1 device DB + TFDU sources,schematic sheets 5/15/16; manual section 7.4; workbook Sheet1; TFDU datasheet pages 4/8/10; TFDU small-board schematic,No selected-net onboard peripheral conflict shown
fixed,F1,1,J10-B,Rxd,input_from_tfdu,tfdu_rxd_i[1],J10,26,IO1_12P,U13,IO_L3P_T0_DQS_PUDC_B_34,34,3.3,LVCMOS33,5,4,Input; active-low; TFDU has approximately 500-kohm weak pull-up only in shutdown,No selected-net discrete pull except J10-26/U13 R29=1 kohm to GND; 33-ohm connector series resistor,AX7020 schematic V2.0 + AX7020 manual V2.2 + AX7020 pin workbook + Vivado 2023.1 device DB + TFDU sources,schematic sheets 5/15/16; manual section 7.4; workbook Sheet1; TFDU datasheet pages 4/8/10; TFDU small-board schematic,R29=1 kohm to GND is the preserved P10.1R electrical-guarantee gap
fixed,F1,1,J10-B,Txd,output_to_tfdu,tfdu_txd_o[1],J10,28,IO1_13P,V12,IO_L4P_T0_34,34,3.3,LVCMOS33,3,3,LOW in configured reset/fault/shutdown; active-high pulse; continuous HIGH <=1 us,No discrete board pull shown; 33-ohm connector series resistor; configuration pull-up is power-sequence dependent,AX7020 schematic V2.0 + AX7020 manual V2.2 + AX7020 pin workbook + Vivado 2023.1 device DB + TFDU sources,schematic sheets 5/15/16; manual section 7.4; workbook Sheet1; TFDU datasheet pages 4/8/10; TFDU small-board schematic,No selected-net onboard peripheral conflict shown
fixed,F2,2,J11-A,Mode,output_to_tfdu,tfdu_mode_o[2],J11,30,IO2_14P,G17,IO_L16P_T2_35,35,3.3,LVCMOS33,8,7,HIGH; static MIR/FIR mode,No discrete board pull shown; 33-ohm connector series resistor; configuration pull-up is power-sequence dependent,AX7020 schematic V2.0 + AX7020 manual V2.2 + AX7020 pin workbook + Vivado 2023.1 device DB + TFDU sources,schematic sheets 5/15/16; manual section 7.5; workbook Sheet1; TFDU datasheet pages 4/8/10; TFDU small-board schematic,No selected-net onboard peripheral conflict shown
fixed,F2,2,J11-A,SD,output_to_tfdu,tfdu_sd_o[2],J11,32,IO2_15P,H16,IO_L13P_T2_MRCC_35,35,3.3,LVCMOS33,7,5,HIGH; active-high full shutdown,No discrete board pull shown; 33-ohm connector series resistor; configuration pull-up is power-sequence dependent,AX7020 schematic V2.0 + AX7020 manual V2.2 + AX7020 pin workbook + Vivado 2023.1 device DB + TFDU sources,schematic sheets 5/15/16; manual section 7.5; workbook Sheet1; TFDU datasheet pages 4/8/10; TFDU small-board schematic,clock-capable pin intentionally used as ordinary GPIO; no clock constraint or clock consumer exists
